Year,Island,Age,Length_cm,Weight_kg
1989,Grand,21,78.2,NA
1990,Grand,NA,61,NA
1990,Grand,11,71,NA
1990,Grand,5,51,NA
1990,Grand,14,73.5,NA
1990,Grand,NA,68.5,NA
1990,Grand,NA,58.5,NA
1990,Grand,NA,57,NA
1990,Grand,5,43,NA
1990,Grand,NA,59.5,NA
1990,Grand,NA,51,NA
1990,Grand,4,40.5,NA
1990,Grand,6,61,NA
1990,Grand,6,56,NA
1990,Grand,NA,58.5,NA
1990,Grand,8,59.5,NA
1990,Grand,NA,68.5,NA
1990,Grand,12,71,NA
1990,Grand,NA,63.5,NA
1990,Grand,13,76,NA
1990,Grand,16,76,NA
1990,Grand,9,65.5,NA
1990,Grand,8,62,NA
1990,Grand,11,71,NA
1990,Grand,NA,58.5,NA
1990,Grand,8,61,NA
1990,Grand,NA,54.5,NA
1990,Grand,8,61,NA
1990,Grand,6,58.5,NA
1990,Grand,NA,62,NA
1990,Grand,4,45.5,NA
1990,Grand,4,38,NA
1990,Grand,NA,59.5,NA
1990,Grand,11,71,NA
1990,Grand,6,56,NA
1990,Grand,8,58.5,NA
1990,Grand,NA,78.5,NA
1990,Grand,10,72,NA
1990,Grand,NA,54.5,NA
1990,Grand,6,51,NA
1990,Grand,8,61,NA
1990,Grand,7,62,NA
1990,Grand,NA,61,NA
1990,Grand,NA,58.5,NA
1990,Grand,9,61,NA
1990,Grand,9,64.5,NA
1990,Grand,11,70,NA
1990,Grand,6,53,NA
1990,Grand,NA,58.5,NA
1990,Grand,NA,72,NA
1990,Grand,8,63.5,NA
1990,Grand,NA,59.5,NA
1990,Grand,7,57,NA
1990,Grand,8,58.5,NA
1990,Grand,NA,62,NA
1990,Grand,NA,58.5,NA
1990,Grand,6,43,NA
1990,Grand,5,53,NA
1990,Grand,11,64.5,NA
1990,Grand,13,73.5,NA
1990,Grand,10,61,NA
1990,Grand,NA,56,NA
1990,Grand,NA,61,NA
1990,Grand,8,64.5,NA
1990,Grand,8,61,NA
1990,Grand,NA,52,NA
1990,Grand,11,70,NA
1990,Grand,7,58.5,NA
1990,Grand,7,68.5,NA
1990,Grand,11,73.5,NA
1990,Grand,7,63.5,NA
1990,Grand,NA,61,NA
1990,Grand,7,57,NA
1990,Grand,7,61,NA
1990,Grand,7,56,NA
1990,Grand,8,58.5,NA
1990,Brac,7,61,NA
1990,Brac,7,64,NA
1990,Brac,6,61,NA
1990,Brac,7,61.5,NA
1990,Brac,8,56,NA
1990,Brac,8,67,NA
1990,Brac,8,64.5,NA
1990,Brac,6,53.5,NA
1990,Brac,6,57,NA
1990,Brac,8,56,NA
1990,Brac,15,72.5,NA
1990,Brac,NA,51.5,NA
1990,Brac,7,54.5,NA
1990,Brac,6,61,NA
1990,Brac,7,53.5,NA
1990,Brac,8,67,NA
1990,Brac,7,61,NA
1990,Brac,5,52,NA
1990,Brac,8,64,NA
1990,Brac,9,65,NA
1990,Brac,5,54,NA
1990,Brac,14,73,NA
1990,Brac,6,53,NA
1990,Brac,7,56,NA
1990,Brac,6,55.5,NA
1990,Brac,7,54,NA
1990,Brac,12,71,NA
1990,Brac,7,62,NA
1990,Brac,6,55,NA
1990,Brac,7,60.5,NA
1990,Brac,15,73.5,NA
1990,Brac,8,61,NA
1990,Brac,7,53,NA
1990,Brac,8,63.5,NA
1990,Brac,8,69.5,NA
1990,Brac,7,51,NA
1990,Brac,8,60,NA
1990,Brac,8,60.5,NA
1990,Brac,7,53.5,NA
1990,Brac,10,67,NA
1990,Brac,9,63,NA
1990,Brac,8,59,NA
1990,Brac,6,62,NA
1990,Brac,8,67,NA
1990,Brac,11,74,NA
1990,Brac,8,58.5,NA
1990,Brac,8,56,NA
1990,Brac,17,83,NA
1990,Brac,7,58.5,NA
1990,Brac,7,57,NA
1990,Brac,6,53,NA
1990,Brac,8,64,NA
1990,Brac,7,58,NA
1990,Brac,12,77,NA
1990,Brac,7,56.5,NA
1990,Brac,8,60,NA
1990,Brac,6,54,NA
1990,Brac,7,59.5,NA
1990,Brac,6,53,NA
1990,Brac,9,67,NA
1990,Brac,8,68,NA
1990,Brac,14,74.5,NA
1990,Brac,7,54.5,NA
1990,Brac,7,58,NA
1990,Brac,7,57,NA
1990,Brac,12,69,NA
1990,Brac,7,59,NA
1990,Brac,7,58.5,NA
1990,Brac,NA,64,NA
1990,Brac,6,58,NA
1990,Brac,8,66,NA
1990,Brac,9,72,NA
1990,Brac,6,57,NA
1990,Brac,7,56,NA
1990,Brac,12,70.5,NA
1990,Brac,8,56,NA
1990,Brac,8,62,NA
1990,Brac,7,58,NA
1990,Brac,8,58,NA
1990,Brac,8,57,NA
1990,Brac,8,66.5,NA
1990,Brac,NA,63.5,NA
1990,Brac,NA,59,NA
1990,Brac,6,56.5,NA
1990,Brac,8,64.5,NA
1990,Brac,8,53,NA
1990,Brac,7,59.5,NA
1990,Brac,8,58,NA
1990,Brac,6,54.5,NA
1990,Brac,9,59.5,NA
1990,Brac,NA,65,NA
1990,Brac,NA,54.5,NA
1990,Brac,4,42.5,NA
1990,Brac,12,65.5,NA
1990,Brac,8,64.5,NA
1990,Brac,NA,61.5,NA
1990,Brac,8,58,NA
1990,Brac,7,56,NA
1990,Brac,8,59.5,NA
1990,Brac,11,57,NA
1991,Brac,NA,84,NA
1991,Brac,NA,60,NA
1991,Brac,7,54,NA
1991,Brac,9,53,NA
1991,Brac,NA,55,NA
1991,Brac,NA,59,NA
1991,Brac,NA,75,NA
1991,Brac,NA,54,NA
1991,Brac,NA,55,NA
1991,Brac,NA,57,NA
1991,Brac,NA,53,NA
1991,Brac,NA,57,NA
1991,Brac,NA,53,NA
1991,Brac,6,57,NA
1991,Brac,NA,59,NA
1991,Brac,7,61,NA
1991,Brac,NA,52,NA
1991,Brac,NA,55,NA
1991,Brac,7,59,NA
1991,Brac,8,60,NA
1991,Brac,NA,53,NA
1991,Brac,8,63,NA
1991,Brac,14,74,NA
1991,Brac,6,58,NA
1991,Brac,7,54,NA
1991,Brac,NA,61,NA
1991,Brac,8,56,NA
1991,Brac,8,52,NA
1991,Brac,8,59,NA
1991,Brac,7,60,NA
1991,Brac,10,63,NA
1991,Brac,NA,58,NA
1991,Brac,8,60,NA
1991,Brac,7,48,NA
1991,Brac,NA,61,NA
1991,Brac,NA,60,NA
1991,Brac,7,58,NA
1991,Brac,6,54,NA
1991,Brac,7,53,NA
1991,Brac,NA,57,NA
1991,Brac,7,54,NA
1991,Brac,8,56,NA
1991,Brac,8,54,NA
1991,Brac,NA,48,NA
1991,Brac,7,60,NA
1991,Brac,8,58,NA
1991,Brac,7,58,NA
1991,Brac,7,53,NA
1991,Brac,NA,57,NA
1991,Brac,NA,67,NA
1991,Brac,NA,56,NA
1991,Brac,NA,51,NA
1991,Brac,NA,52,NA
1991,Brac,NA,58,NA
1991,Brac,NA,52,NA
1991,Brac,NA,55,NA
1991,Brac,8,59,NA
1991,Brac,NA,57,NA
1991,Brac,NA,60,NA
1991,Brac,NA,61,NA
1991,Brac,NA,53,NA
1991,Brac,NA,55,NA
1991,Brac,NA,60,NA
1991,Brac,7,58,NA
1991,Brac,NA,53,NA
1991,Brac,NA,60,NA
1991,Brac,NA,55,NA
1991,Brac,NA,59,NA
1991,Brac,NA,59,NA
1991,Brac,NA,61,NA
1991,Brac,7,54,NA
1991,Brac,NA,56,NA
1991,Brac,9,65,NA
1991,Brac,7,56,NA
1991,Brac,NA,52,NA
1991,Brac,NA,50,NA
1991,Brac,NA,58,NA
1991,Brac,NA,55,NA
1991,Brac,NA,51,NA
